Fecha,Localizacion,Salario medio,Precio mediano m2,Dif Salario,Dif Alquiler,Viviendas Protegidas,Vivendas libres
1/1/2015,Albacete,"1310,67",4,,,3,531
1/1/2016,Albacete,1315,"4,05","0,33%","1,27%",0,233
1/1/2017,Albacete,"1344,33","4,14","2,23%","2,16%",0,555
1/1/2018,Albacete,1397,"4,24","3,92%","2,40%",0,502
1/1/2019,Albacete,"1466,42","4,5","4,97%","6,31%",0,865
1/1/2020,Albacete,"1496,75","4,55","2,07%","0,91%",0,633
1/1/2021,Albacete,"1566,5","4,7","4,66%","3,46%",0,701
1/1/2022,Albacete,1640,"4,89","4,69%","3,97%",0,860
1/1/2015,Alicante,"1285,42","4,3",,,0,4.433
1/1/2016,Alicante,"1299,75","4,34","1,12%","2,00%",35,4.222
1/1/2017,Alicante,"1328,17","4,44","2,19%","2,19%",112,4.252
1/1/2018,Alicante,"1372,25","4,58","3,32%","3,33%",55,6.201
1/1/2019,Alicante,"1428,25","4,91","4,08%","7,11%",114,4.327
1/1/2020,Alicante,"1408,08","5,01","-1,41%","2,00%",152,5.243
1/1/2021,Alicante,"1470,75","5,21","4,45%","4,02%",94,5.510
1/1/2022,Alicante,"1592,67","5,47","8,29%","5,06%",256,3.258
1/1/2015,Almería,"1118,67","4,2",,,19,291
1/1/2016,Almería,"1138,42","4,2","1,77%","1,01%",0,333
1/1/2017,Almería,"1159,5","4,27","1,85%","1,75%",0,315
1/1/2018,Almería,"1205,75","4,42","3,99%","3,63%",0,938
1/1/2019,Almería,"1269,42","4,74","5,28%","7,22%",0,917
1/1/2020,Almería,"1299,58","4,91","2,38%","3,51%",0,803
1/1/2021,Almería,"1351,67","5,11","4,01%","4,13%",0,815
1/1/2022,Almería,"1413,5","5,32","4,57%","4,02%",0,1.024
1/1/2015,Asturias,"1640,33","5,2",,,51,352
1/1/2016,Asturias,"1647,08","5,28","0,41%","1,16%",0,292
1/1/2017,Asturias,"1665,58","5,36","1,12%","1,50%",48,1.041
1/1/2018,Asturias,"1720,83","5,45","3,32%","1,82%",35,612
1/1/2019,Asturias,"1775,92","5,71","3,20%","4,77%",52,1.327
1/1/2020,Asturias,"1765,92","5,81","-0,56%","1,74%",0,1.518
1/1/2021,Asturias,"1857,17","5,95","5,17%","2,37%",0,1.349
1/1/2022,Asturias,"1950,42","6,13","5,02%","3,05%",0,1.805
1/1/2015,Ávila,1328,"3,8",,,0,391
1/1/2016,Ávila,"1330,75","3,75","0,21%","0,00%",0,293
1/1/2017,Ávila,"1362,33","3,8","2,37%","1,45%",0,233
1/1/2018,Ávila,"1416,08","3,9","3,95%","2,45%",0,227
1/1/2019,Ávila,"1458,83","4,17","3,02%","6,91%",0,225
1/1/2020,Ávila,"1492,75","4,32","2,32%","3,70%",0,302
1/1/2021,Ávila,"1547,83","4,48","3,69%","3,58%",0,209
1/1/2022,Ávila,"1627,75","4,7","5,16%","4,96%",0,216
1/1/2015,Badajoz,"1113,5",4,,,33,652
1/1/2016,Badajoz,"1129,17",4,"1,41%","1,00%",50,605
1/1/2017,Badajoz,"1155,67","4,04","2,35%","1,06%",3,599
1/1/2018,Badajoz,"1202,92","4,12","4,09%","1,97%",0,826
1/1/2019,Badajoz,"1271,17","4,32","5,67%","4,94%",0,721
1/1/2020,Badajoz,"1291,92","4,4","1,63%","1,73%",0,766
1/1/2021,Badajoz,"1349,58","4,51","4,46%","2,60%",0,797
1/1/2022,Badajoz,1420,"4,68","5,22%","3,73%",69,670
1/1/2015,Barcelona,"1846,08","7,8",,,222,2.594
1/1/2016,Barcelona,"1862,67","7,89","0,90%","1,75%",0,2.837
